en1,Lil Nas X Featuring Billy Ray Cyrus - Old Town Road
en2,Shawn Mendes - If I Can't Have You
en3,Taylor Swift Featuring Brendon Urie - Me!
en4,Jonas Brothers - Sucker
en5,Logic Featuring Eminem - Homicide
en6,Post Malone - Wow.
en7,Post Malone & Swae Lee - Sunflower (Spider-Man: Into The Spider-Verse)
en8,Halsey - Without Me
en9,Billie Eilish - Bad Guy
en10,Ariana Grande - 7 Rings
en11,Sam Smith & Normani - Dancing With A Stranger
en12,Khalid - Talk
en13,Ava Max - Sweet But Psycho
en14,J. Cole - Middle Child
en15,Ariana Grande - Break Up With Your Girlfriend I'm Bored
en16,Marshmello & Bastille - Happier
en17,Meek Mill Featuring Drake - Going Bad
en18,Benny blanco feat Halsey & Khalid - Eastside
en19,Lady Gaga & Bradley Cooper - Shallow
en20,Panic! At The Disco - High Hopes
en21,Khalid - Better
en22,DaBaby - Suge
en23,Cardi B & Bruno Mars - Please Me
en24,Mustard & Migos - Pure Water
en25,Maroon 5 Featuring Cardi B - Girls Like You
en26,Travis Scott - Sicko Mode
en27,A Boogie Wit da Hoodie - Look Back At It
en28,Morgan Wallen - Whiskey Glasses
en29,City Girls - Act Up
en30,21 Savage - A Lot
en31,Daddy Yankee & Katy Perry Featuring Snow - Con Calma
en32,Luke Combs - Beautiful Crazy
en33,Blake Shelton - God's Country
en34,Marshmello Featuring CHVRCHES - Here With Me
en35,Calboy - Envy Me
en36,Blueface - Thotiana
en37,Dean Lewis - Be Alright
en38,Chase Rice - Eyes On You
en39,Polo G Featuring Lil Tjay - Pop Out
en40,Billie Eilish -When The Party's Over
en41,Lil Baby & Gunna - Drip Too Hard
en42,Kane Brown - Good As You
en43,Ellie Goulding X Diplo Featuring Swae Lee - Close To Me
en44,Offset Featuring Cardi B - Clout
en45,Lauren Daigle - You Say
en46,Billie Eilish - Bury A Friend
en47,Lil Uzi Vert - Sanguine Paradise
en48,Ariana Grande - Thank U Next
en49,YNW Melly - Murder On My Mind
en50,Lizzo - Truth Hurts
en51,Twenty One Pilots - Chlorine
en52,YK Osiris - Worth It
en53,The Chainsmokers Featuring 5 Seconds Of Summer - Who Do You Love
en54,Lil Baby - Close Friends
en55,Thomas Rhett - Look What God Gave Her
en56,Jon Pardi - Night Shift
en57,Lee Brice - Rumor
en58,P!nk - Walk Me Home
en59,Panic! At The Disco - Hey Look Ma I Made It
en60,Eli Young Band - Love Ain't
en61,Lil Dicky - Earth
en62,Pinkfong - Baby Shark
en63,A Boogie Wit da Hoodie Featuring 6ix9ine - Swervin
en64,Kelsea Ballerini - Miss Me More
en65,Megan Thee Stallion - Big Ole Freak
en66,Brett Young - Here Tonight
en67,Beyonce - Before I Let Go
en68,Luke Combs -Beer Never Broke My Heart
en69,Mabel - Don't Call Me Up
en70,Jonas Brothers - Cool
en71,YG feat Tyga & Jon Z - Go Loko
en72,Maren Morris - GIRL
en73,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy - Racks In The Middle
en74,Juice WRLD - Robbery
en75,Summer Walker X Drake - Girls Need Love
en76,Old Dominion - Make It Sweet
en77,Jeremy Zucker - comethru
en78,YNW Melly Featuring Kanye West - Mixed Personalities
en79,Florida Georgia Line - Talk You Out Of It
en80,Yo Gotti Featuring Lil Baby - Put A Date On It
en81,Lauv & Troye Sivan - I'm So Tired�
en82,NLE Choppa - Shotta Flow
en83,Lil Uzi Vert - That's A Rack
en84,Luke Bryan - Knockin' Boots
en85,Meek Mill Featuring Ella Mai - 24/7
en86,Billie Eilish - You Should See Me In A Crown
en87,Cody Johnson - On My Way To You
en88,The Chainsmokers & Coldplay - Something Just Like This
en89,Brett Eldredge - Love Someone
en90,SZA feat The Weeknd & Travis Scott - Power Is Power
en91,PnB Rock & XXXTENTACION - Middle Child
en92,Ella Mai - Shot Clock
en93,Billie Eilish - Ocean Eyes
en94,Billie Eilish - Wish You Were Gay
en95,Lil Peep & iLoveMakonnen Featuring Fall Out Boy - I've Been Waiting
en96,Dan + Shay - All To Myself
en97,Oasis - Don't Look Back In Anger
en98,Bazzi - Paradise
en99,Roddy Ricch - Die Young
en100,Ski Mask The Slump God - Faucet Failure
en101,Chubby Checker - The Twist
en102,Santana Featuring Rob Thomas - Smooth
en103,Bobby Darin - Mack The Knife
en104,LeAnn Rimes - How Do I Live
en105,LMFAO Featuring Lauren Bennett - Party Rock Anthem
en106,The Black Eyed Peas - I Gotta Feeling
en107,Los Del Rio - Macarena (Bayside Boys Mix)
en108,Olivia Newton-John - Physical
en109,Debby Boone - You Light Up My Life
en110,The Beatles - Hey Jude
en111,Mariah Carey - We Belong Together
en112,Mark Ronson Featuring Bruno Mars - Uptown Funk!
en113,Toni Braxton - Un-Break My Heart
en114,Usher Featuring Lil Jon & Ludacris - Yeah!
en115,Kim Carnes - Bette Davis Eyes
en116,Diana Ross & Lionel Richie - Endless Love
en117,Rod Stewart - Tonight's The Night (Gonna Be Alright)
en118,Jewel - Foolish Games/You Were Meant For Me
en119,Bryan Adams - (Everything I Do) I Do It For You
en120,Boyz II Men - I'Ll Make Love To You
en121,"Percy Faith And His Orchestra - The Theme From ""A Summer Place"""
en122,Chic - Le Freak
en123,Bee Gees - How Deep Is Your Love
en124,Survivor - Eye Of The Tiger
en125,Rihanna Featuring Calvin Harris - We Found Love
en126,Flo Rida Featuring T-Pain - Low
en127,Andy Gibb - I Just Want To Be Your Everything
en128,Next - Too Close
en129,The Police - Every Breath You Take
en130,Gotye Featuring Kimbra - Somebody That I Used To Know
en131,Irene Cara - Flashdance...What A Feeling
en132,Adele - Rolling In The Deep
en133,Bobby Lewis - Tossin' And Turnin'
en134,Johnny Horton - The Battle Of New Orleans
en135,Mariah Carey & Boyz II Men - One Sweet Day
en136,Savage Garden - Truly Madly Deeply
en137,Wings - Silly Love Songs
en138,Marvin Gaye - Let's Get It On
en139,Bee Gees - Night Fever
en140,Queen - Another One Bites The Dust
en141,Paul McCartney And Michael Jackson - Say Say Say
en142,Nickelback - How You Remind Me
en143,Dawn Featuring Tony Orlando - Tie A Yellow Ribbon Round The Old Oak Tree
en144,Four Tops - It's All In The Game
en145,The Beatles - I Want To Hold Your Hand
en146,Andy Gibb - Shadow Dancing
en147,Carly Rae Jepsen - Call Me Maybe
en148,Robin Thicke Featuring T.I. + Pharrell - Blurred Lines
en149,Elton John - Candle In The Wind 1997/Something About The Way You Look Tonight
en150,Alicia Keys - No One
en151,Whitney Houston - I Will Always Love You
en152,Boyz II Men - End Of The Road
en153,The Black Eyed Peas - Boom Boom Pow
en154,Blondie - Call Me
en155,Mario - Let Me Love You
en156,Bee Gees - Stayin' Alive
en157,Kenny Rogers - Lady
en158,Ke$ha - Tik Tok
en159,The Monkees - I'm A Believer
en160,Kanye West Featuring Jamie Foxx - Gold Digger
en161,Timbaland Featuring OneRepublic - Apologize
en162,Ace Of Base - The Sign
en163,The J. Geils Band - Centerfold
en164,John Lennon - (Just Like) Starting Over
en165,Lorde - Royals
en166,Brandy & Monica - The Boy Is Mine
en167,Stevie B - Because I Love You (The Postman Song)
en168,Joan Jett & the Blackhearts - I Love Rock 'N Roll
en169,Meghan Trainor - All About That Bass
en170,The 5th Dimension - Aquarius/Let The Sunshine In
en171,Tag Team - Whoomp! (There It Is)
en172,Maroon 5 Featuring Christina Aguil - Moves Like Jagger
en173,Paul McCartney And Stevie Wonder - Ebony And Ivory
en174,Paula Abdul - Rush Rush
en175,Dionne & Friends - That's What Friends Are For
en176,Pharrell Williams - Happy
en177,Diana Ross - Upside Down
en178,The Archies - Sugar Sugar
