Kategori,Nama,Kalori
Karbohidrat,Beras benir,339
Karbohidrat,Beras giling,360
Karbohidrat,Beras giling pelita I/1,366
Karbohidrat,Beras giling pelita II/1,396
Karbohidrat,Beras jagung,345
Karbohidrat,Beras ketan hitam,356
Karbohidrat,Beras ketan hitam kukus,181
Karbohidrat,Beras ketan hitam tumbuk,360
Karbohidrat,Beras ketan putih,362
Karbohidrat,Beras ketan putih kukus,163
Karbohidrat,Beras ketan putih tumbuk,361
Karbohidrat,Beras merah tumbuk,359
Karbohidrat,Beras merah tumbuk,352
Karbohidrat,Beras merah tumbuk (kukus),149
Karbohidrat,Beras paboiled,364
Karbohidrat,Beras pecah kulit,335
Karbohidrat,Beras rojolele,357
Karbohidrat,Beras setengah giling,363
Karbohidrat,Beras tumbuk pelita I/1,365
Karbohidrat,Beras tumbuk pelita II/1,360
Karbohidrat,Jagung giling kuning,361
Karbohidrat,Jagung giling putih,361
Karbohidrat,Jagung harapan,367
Karbohidrat,Jagung kuning,366
Karbohidrat,Jagung kuning muda,147
Karbohidrat,Jagung kuning muda rebus,142
Karbohidrat,Jagung kuning rebus,366
Karbohidrat,"Jagung kuning, pipil baru",307
Karbohidrat,"Jagung kuning, pipil lama",355
Karbohidrat,Jagung metro,368
Karbohidrat,"Jagung putih , pipil baru",307
Karbohidrat,"Jagung putih , pipil lama",355
Karbohidrat,"Jagung segar, kuning",140
Karbohidrat,"Jagung segar, putih",140
Karbohidrat,Jagung titi,374
Karbohidrat,Kentang,83
Karbohidrat,Kentang (DKBM P3G '90),62
Karbohidrat,Kentang hitam,142
Karbohidrat,Ketan (lihat beras ketan ),362
Karbohidrat,Ketela pohon (DKBM P3G '90),154
Karbohidrat,Ketela pohon (singkong),146
Karbohidrat,Ketela pohon kuning,157
Karbohidrat,Misoa,345
Karbohidrat,Talas,98
Karbohidrat,Talas bogor,108
Karbohidrat,Talas pontianak,163
Karbohidrat,Ubi jalar kuning,114
Karbohidrat,Ubi jalar merah,123
Karbohidrat,Ubi jalar merah (DKBM P3G '90),151
Karbohidrat,Ubi jalar puith (DKBM P3G '90),152
Karbohidrat,Ubi jalar putih,123
Karbohidrat,Ubi kemayung,150
Karbohidrat,Ubi manis,83
Karbohidrat,Bihun,360
Karbohidrat,Biskuit,458
Karbohidrat,"Jagung muda,kuning rebus/bakar",129
Karbohidrat,"Jagung muda,putih rebus/bakar",129
Karbohidrat,Kerupuk aci,350
Karbohidrat,Macaroni,363
Karbohidrat,Maizena ( pati jagung ),343
Karbohidrat,Mi basah,86
Karbohidrat,Mi kering,337
Karbohidrat,Pati singkong ( tapioka ),362
Karbohidrat,Roti putih,248
Karbohidrat,Roti warna sawo matang,249
Karbohidrat,Tape singkong,173
Karbohidrat,Tepung beras,364
Karbohidrat,Tepung gaplek,363
Karbohidrat,Tepung garut (tepung anowroot),355
Karbohidrat,Tepung jagung kuning,355
Karbohidrat,Tepung jagung putih,355
Karbohidrat,Tepung kentang,347
Karbohidrat,Tepung sagu,353
Karbohidrat,Tepung sagu,209
Karbohidrat,Tepung sagu ambon,555
Karbohidrat,Tepung terigu,365
Karbohidrat,Tipa tipa (emping),355
Protein Nabati,Akar tonjong,45
Protein Nabati,Ake .toge,37
Protein Nabati,Biji jambu mete,606
Protein Nabati,Biji jambu mete,606
Protein Nabati,Biji jambu monyet (mente),562
Protein Nabati,Jengkol,140
Protein Nabati,Kabau,199
Protein Nabati,Kacang arab,330
